# frame t_err(m) r_err(deg) dx dy dz
424 0.041941 1.544037 0.024902 -0.002724 -0.033638
425 0.041480 1.509674 0.029022 -0.011953 -0.027120
426 0.067322 1.662312 0.044878 -0.025605 -0.043158
427 0.074074 1.495475 0.039764 -0.023517 -0.057902
428 0.083777 1.368709 0.014892 -0.011821 -0.081591
429 0.068176 1.478810 0.014839 -0.012000 -0.065450
430 0.050062 1.423937 0.029059 -0.016233 -0.037393
431 0.054805 1.406554 0.030426 -0.022701 -0.039529
432 0.068573 1.361202 0.021971 -0.022698 -0.060864
433 0.083779 1.177806 0.005744 -0.018296 -0.081555
434 0.085146 1.092756 0.004865 -0.015781 -0.083529
435 0.094691 1.062174 -0.001007 -0.012584 -0.093846
436 0.105551 1.134817 0.020816 -0.013647 -0.102575
437 0.105672 1.176254 0.020544 -0.015643 -0.102468
438 0.107629 1.127027 0.015054 -0.017949 -0.105048
439 0.094880 1.190765 0.022854 -0.020737 -0.089721
440 0.093654 1.225542 0.034038 -0.024957 -0.083604
441 0.096900 1.216521 0.036949 -0.024304 -0.086219
442 0.096777 1.219300 0.021267 -0.021433 -0.091946
443 0.115786 1.078337 0.015175 -0.019292 -0.113154
444 0.131031 1.109013 0.017243 -0.023631 -0.127724
445 0.123012 1.093893 0.022444 -0.018069 -0.119590
446 0.114884 1.048299 0.017413 -0.017925 -0.112133
447 0.119207 1.011306 0.016471 -0.013203 -0.117323
448 0.133586 0.997584 0.018980 -0.016072 -0.131250
449 0.148214 1.002698 0.030982 -0.023439 -0.143032
450 0.146307 1.039563 0.038005 -0.027757 -0.138531
451 0.133056 0.979034 0.020593 -0.024983 -0.129057
452 0.128381 1.048857 0.012113 -0.031575 -0.123847
453 0.134631 1.079520 0.011681 -0.022835 -0.132165
454 0.149615 0.985460 0.025837 -0.027080 -0.144858
455 0.148151 1.034389 0.025587 -0.018583 -0.144737
456 0.128198 1.074873 0.023365 -0.012702 -0.125409
457 0.121463 0.968149 0.015928 -0.014590 -0.119527
458 0.131335 0.993476 0.017833 -0.017309 -0.128962
459 0.143275 1.112679 0.004204 -0.017567 -0.142132
460 0.158284 1.022097 -0.001066 -0.014917 -0.157576
461 0.158828 1.099318 0.009950 -0.007902 -0.158319
462 0.131100 1.163892 0.027706 -0.001036 -0.128135
463 0.131487 1.104170 0.032803 -0.015646 -0.126365
464 0.140758 1.154228 0.024935 -0.023975 -0.136441
465 0.149792 1.094443 0.023587 -0.031441 -0.144544
466 0.140443 1.173260 0.028872 -0.029452 -0.134250
467 0.142289 0.985557 0.030864 -0.024603 -0.136705
468 0.145585 1.044482 0.026529 -0.024539 -0.141028
469 0.143511 0.834009 0.018589 -0.025985 -0.139909
470 0.137600 0.943931 0.010775 -0.007412 -0.136977
471 0.133113 0.999900 0.016825 -0.011996 -0.131499
472 0.120799 0.960248 0.016000 -0.008573 -0.119428
473 0.121477 0.946012 0.025371 -0.024356 -0.116275
474 0.118621 0.959842 0.022204 -0.021197 -0.114580
475 0.120956 0.887013 0.027363 -0.023613 -0.115430
476 0.116898 0.927905 0.014771 -0.009584 -0.115564
477 0.121994 0.979097 0.022996 -0.019800 -0.118159
